name: Mathieu Garon, season: 2011, playerId: 8464999, team: T.B, position: G, situation: 5on4, games_played: 48, icetime: 11376.0, xGoals: 3.38, goals: 5.0, unblocked_shot_attempts: 68.0, xRebounds: 1.69, rebounds: 0.0, xFreeze: 4.93, freeze: 5.0, xOnGoal: 36.78, ongoal: 34.0, xPlayStopped: 4.33, playStopped: 5.0, xPlayContinuedInZone: 10.8, playContinuedInZone: 10.0, xPlayContinuedOutsideZone: 28.17, playContinuedOutsideZone: 30.0, flurryAdjustedxGoals: 3.37, lowDangerShots: 39.0, mediumDangerShots: 5.0, highDangerShots: 6.0, lowDangerxGoals: 1.07, mediumDangerxGoals: 0.62, highDangerxGoals: 1.69, lowDangerGoals: 0.0, mediumDangerGoals: 1.0, highDangerGoals: 4.0, blocked_shot_attempts: 18.0, penalityMinutes: 0.0, penalties: 0.0

name: Cam Ward, season: 2011, playerId: 8470320, team: CAR, position: G, situation: other, games_played: 68, icetime: 7571.0, xGoals: 17.99, goals: 14.0, unblocked_shot_attempts: 238.0, xRebounds: 8.68, rebounds: 11.0, xFreeze: 26.01, freeze: 24.0, xOnGoal: 127.66, ongoal: 122.0, xPlayStopped: 2.95, playStopped: 4.0, xPlayContinuedInZone: 70.99, playContinuedInZone: 56.0, xPlayContinuedOutsideZone: 48.1, playContinuedOutsideZone: 67.0, flurryAdjustedxGoals: 15.85, lowDangerShots: 112.0, mediumDangerShots: 39.0, highDangerShots: 25.0, lowDangerxGoals: 3.95, mediumDangerxGoals: 4.6, highDangerxGoals: 9.44, lowDangerGoals: 3.0, mediumDangerGoals: 3.0, highDangerGoals: 8.0, blocked_shot_attempts: 62.0, penalityMinutes: 0.0, penalties: 0.0

name: Cam Ward, season: 2011, playerId: 8470320, team: CAR, position: G, situation: all, games_played: 68, icetime: 239149.0, xGoals: 197.6, goals: 182.0, unblocked_shot_attempts: 4016.0, xRebounds: 148.52, rebounds: 209.0, xFreeze: 505.16, freeze: 451.0, xOnGoal: 2185.56, ongoal: 2143.0, xPlayStopped: 66.11, playStopped: 64.0, xPlayContinuedInZone: 1191.29, playContinuedInZone: 937.0, xPlayContinuedOutsideZone: 906.22, playContinuedOutsideZone: 1170.0, flurryAdjustedxGoals: 188.16, lowDangerShots: 2281.0, mediumDangerShots: 546.0, highDangerShots: 192.0, lowDangerxGoals: 65.84, mediumDangerxGoals: 67.88, highDangerxGoals: 63.88, lowDangerGoals: 63.0, mediumDangerGoals: 52.0, highDangerGoals: 67.0, blocked_shot_attempts: 997.0, penalityMinutes: 4.0, penalties: 2.0

name: Cam Ward, season: 2011, playerId: 8470320, team: CAR, position: G, situation: 5on5, games_played: 68, icetime: 192010.0, xGoals: 138.4, goals: 133.0, unblocked_shot_attempts: 3138.0, xRebounds: 111.03, rebounds: 163.0, xFreeze: 409.75, freeze: 366.0, xOnGoal: 1706.84, ongoal: 1682.0, xPlayStopped: 50.66, playStopped: 47.0, xPlayContinuedInZone: 930.37, playContinuedInZone: 717.0, xPlayContinuedOutsideZone: 714.35, playContinuedOutsideZone: 920.0, flurryAdjustedxGoals: 133.08, lowDangerShots: 1827.0, mediumDangerShots: 411.0, highDangerShots: 121.0, lowDangerxGoals: 53.12, mediumDangerxGoals: 51.03, highDangerxGoals: 34.25, lowDangerGoals: 53.0, mediumDangerGoals: 41.0, highDangerGoals: 39.0, blocked_shot_attempts: 779.0, penalityMinutes: 4.0, penalties: 2.0

name: Cam Ward, season: 2011, playerId: 8470320, team: CAR, position: G, situation: 4on5, games_played: 68, icetime: 17361.0, xGoals: 33.21, goals: 27.0, unblocked_shot_attempts: 516.0, xRebounds: 25.02, rebounds: 31.0, xFreeze: 58.26, freeze: 51.0, xOnGoal: 276.22, ongoal: 252.0, xPlayStopped: 1.69, playStopped: 1.0, xPlayContinuedInZone: 166.14, playContinuedInZone: 144.0, xPlayContinuedOutsideZone: 91.66, playContinuedOutsideZone: 125.0, flurryAdjustedxGoals: 31.48, lowDangerShots: 271.0, mediumDangerShots: 75.0, highDangerShots: 37.0, lowDangerxGoals: 6.78, mediumDangerxGoals: 9.43, highDangerxGoals: 17.0, lowDangerGoals: 6.0, mediumDangerGoals: 5.0, highDangerGoals: 16.0, blocked_shot_attempts: 133.0, penalityMinutes: 0.0, penalties: 0.0

